Term,Type,ECSS Standards,Branches
flexible PCB,full term,"['ECSS-Q-ST-70-10C', 'ECSS-Q-ST-70-11C']",['Q']
high frequency PCB,full term,"['ECSS-Q-ST-70-10C', 'ECSS-Q-ST-70-11C']",['Q']
inclusions,full term,"['ECSS-Q-ST-70-10C', 'ECSS-Q-ST-70-11C']",['Q']
metal core PCB,full term,"['ECSS-Q-ST-70-10C', 'ECSS-Q-ST-70-11C']",['Q']
multilayer PCB,full term,"['ECSS-Q-ST-70-10C', 'ECSS-Q-ST-70-11C']",['Q']
rigid double-sided PCB,full term,"['ECSS-Q-ST-70-10C', 'ECSS-Q-ST-70-11C']",['Q']
rigid-flex PCB,full term,"['ECSS-Q-ST-70-10C', 'ECSS-Q-ST-70-11C']",['Q']
rigid-flex double-sided PCB,full term,"['ECSS-Q-ST-70-10C', 'ECSS-Q-ST-70-11C']",['Q']
rigid-flex multilayer PCB,full term,"['ECSS-Q-ST-70-10C', 'ECSS-Q-ST-70-11C']",['Q']
rigid PCB,full term,"['ECSS-Q-ST-70-10C', 'ECSS-Q-ST-70-11C']",['Q']
rigid single-sided PCB,full term,"['ECSS-Q-ST-70-10C', 'ECSS-Q-ST-70-11C']",['Q']
rigid multilayer PCB,full term,"['ECSS-Q-ST-70-10C', 'ECSS-Q-ST-70-11C']",['Q']
sequentially laminated multilayer PCB,full term,"['ECSS-Q-ST-70-10C', 'ECSS-Q-ST-70-11C']",['Q']
approval authority,full term,"['ECSS-Q-ST-70-38C', 'ECSS-Q-ST-70-07C', 'ECSS-Q-ST-70-08C', 'ECSS-Q-ST-70-38C Rev.1 Corr.1']",['Q']
scavenging,full term,"['ECSS-Q-ST-70-38C', 'ECSS-Q-ST-70-38C Rev.1 Corr.1']",['Q']
selective plating,full term,"['ECSS-Q-ST-70-38C', 'ECSS-Q-ST-70-08C', 'ECSS-Q-ST-70-38C Rev.1 Corr.1']",['Q']
solder balling,full term,"['ECSS-Q-ST-70-38C', 'ECSS-Q-ST-70-38C Rev.1 Corr.1']",['Q']
tombstoning,full term,"['ECSS-Q-ST-70-38C', 'ECSS-Q-ST-70-38C Rev.1 Corr.1']",['Q']
timing parameters,full term,['ECSS-Q-ST-60-14C'],['Q']
component density,full term,['ECSS-Q-ST-70-07C'],['Q']
ionisable contaminant,full term,['ECSS-Q-ST-70-07C'],['Q']
machine oil,full term,['ECSS-Q-ST-70-07C'],['Q']
wave soldering,full term,['ECSS-Q-ST-70-07C'],['Q']
wave-soldering equipment,full term,['ECSS-Q-ST-70-07C'],['Q']
base laminate,full term,['ECSS-Q-ST-70-08C'],['Q']
bifurcated  terminal,full term,['ECSS-Q-ST-70-08C'],['Q']
bit,full term,['ECSS-Q-ST-70-08C'],['Q']
clinched-lead termination,full term,['ECSS-Q-ST-70-08C'],['Q']
component lead,full term,['ECSS-Q-ST-70-08C'],['Q']
connection,full term,['ECSS-Q-ST-70-08C'],['Q']
contact angle,full term,['ECSS-Q-ST-70-08C'],['Q']
cracked solder joint,full term,['ECSS-Q-ST-70-08C'],['Q']
electrical connection,full term,['ECSS-Q-ST-70-08C'],['Q']
eutectic alloy,full term,['ECSS-Q-ST-70-08C'],['Q']
flux activity,full term,['ECSS-Q-ST-70-08C'],['Q']
hook terminal,full term,['ECSS-Q-ST-70-08C'],['Q']
icicles,full term,['ECSS-Q-ST-70-08C'],['Q']
interfacial connection,full term,['ECSS-Q-ST-70-08C'],['Q']
lap joint,full term,['ECSS-Q-ST-70-08C'],['Q']
measling/measles,full term,['ECSS-Q-ST-70-08C'],['Q']
multi-layer circuit board,full term,['ECSS-Q-ST-70-08C'],['Q']
pad,full term,['ECSS-Q-ST-70-08C'],['Q']
plated-through hole,full term,['ECSS-Q-ST-70-08C'],['Q']
resin,full term,['ECSS-Q-ST-70-08C'],['Q']
resistance soldering,full term,['ECSS-Q-ST-70-08C'],['Q']
rosin,full term,['ECSS-Q-ST-70-08C'],['Q']
rosin-soldered joint,full term,['ECSS-Q-ST-70-08C'],['Q']
solder,full term,['ECSS-Q-ST-70-08C'],['Q']
solderability,full term,['ECSS-Q-ST-70-08C'],['Q']
solder coating,full term,['ECSS-Q-ST-70-08C'],['Q']
soldering time,full term,['ECSS-Q-ST-70-08C'],['Q']
stress lines,full term,['ECSS-Q-ST-70-08C'],['Q']
substrate,full term,['ECSS-Q-ST-70-08C'],['Q']
termination/terminal area,full term,['ECSS-Q-ST-70-08C'],['Q']
tinning,full term,['ECSS-Q-ST-70-08C'],['Q']
tip,full term,['ECSS-Q-ST-70-08C'],['Q']
wetting,full term,['ECSS-Q-ST-70-08C'],['Q']
wire,full term,['ECSS-Q-ST-70-08C'],['Q']
"term ""performance""deleted",full term,['ECSS-Q-ST-30-11C Rev.1'],['Q']
traceability information,full term,['ECSS-Q-ST-60-13C'],['Q']
collective assembled devices,full term,['ECSS-Q-ST-70-38C Rev.1 Corr.1'],['Q']
sensitive devices,full term,['ECSS-Q-ST-70-38C Rev.1 Corr.1'],['Q']
stacking,full term,['ECSS-Q-ST-70-38C Rev.1 Corr.1'],['Q']
test vehicle,full term,['ECSS-Q-ST-70-38C Rev.1 Corr.1'],['Q']
agreement,full term,['ECSS-E-ST-10C'],['E']
design to cost,full term,['ECSS-E-ST-10C'],['E']
mission statement,full term,['ECSS-E-ST-10C'],['E']
system engineering organisation,full term,['ECSS-E-ST-10C'],['E']
system engineering process,full term,['ECSS-E-ST-10C'],['E']
technical requirement,full term,['ECSS-E-ST-10C'],['E']
technology readiness level,full term,['ECSS-E-ST-10C'],['E']
fasteners,full term,['ECSS-E-ST-33-01C'],['E']
acceptance stage,full term,['ECSS-E-ST-10-02C'],['E']
in-orbit stage,full term,['ECSS-E-ST-10-02C'],['E']
post-landing stage,full term,['ECSS-E-ST-10-02C'],['E']
pre-launch stage,full term,['ECSS-E-ST-10-02C'],['E']
qualification stage,full term,['ECSS-E-ST-10-02C'],['E']
catastrophic failure,full term,['ECSS-E-ST-33-11C'],['E']
explosive actuator,full term,['ECSS-E-ST-33-11C'],['E']
explosive system,full term,['ECSS-E-ST-33-11C'],['E']
extreme envelope,full term,['ECSS-E-ST-33-11C'],['E']
end of life,full term,['ECSS-E-ST-33-11C'],['E']
operational envelope,full term,['ECSS-E-ST-33-11C'],['E']
qualification envelope,full term,['ECSS-E-ST-33-11C'],['E']
Overview,full term,['ECSS-E-ST-60-20C Rev. 1'],['E']
correct attitude threshold,full term,['ECSS-E-ST-60-20C Rev. 1'],['E']
acknowledge,full term,['ECSS-E-ST-50-12C'],['E']
binder,full term,['ECSS-E-ST-50-12C'],['E']
character level,full term,['ECSS-E-ST-50-12C'],['E']
content addressable memory,full term,['ECSS-E-ST-50-12C'],['E']
data-strobe,full term,['ECSS-E-ST-50-12C'],['E']
de-serialization,full term,['ECSS-E-ST-50-12C'],['E']
destination list,full term,['ECSS-E-ST-50-12C'],['E']
destination identifier,full term,['ECSS-E-ST-50-12C'],['E']
exchange level,full term,['ECSS-E-ST-50-12C'],['E']
filler,full term,['ECSS-E-ST-50-12C'],['E']
host receive buffer,full term,['ECSS-E-ST-50-12C'],['E']
host transmit buffer,full term,['ECSS-E-ST-50-12C'],['E']
lay-length,full term,['ECSS-E-ST-50-12C'],['E']
link-character,full term,['ECSS-E-ST-50-12C'],['E']
link destination,full term,['ECSS-E-ST-50-12C'],['E']
link interface,full term,['ECSS-E-ST-50-12C'],['E']
link source,full term,['ECSS-E-ST-50-12C'],['E']
Mb/s,full term,['ECSS-E-ST-50-12C'],['E']
nan,full term,['ECSS-E-ST-50-12C'],['E']
packet level,full term,['ECSS-E-ST-50-12C'],['E']
packet cargo,full term,['ECSS-E-ST-50-12C'],['E']
physical level,full term,['ECSS-E-ST-50-12C'],['E']
pseudo-ECL,full term,['ECSS-E-ST-50-12C'],['E']
signal level,full term,['ECSS-E-ST-50-12C'],['E']
Time-Code,full term,['ECSS-E-ST-50-12C'],['E']
accommodation coefficient,full term,['ECSS-E-ST-10-04C'],['E']
contaminant environment,full term,['ECSS-E-ST-10-04C'],['E']
direct flux,full term,['ECSS-E-ST-10-04C'],['E']
free molecular flow regime,full term,['ECSS-E-ST-10-04C'],['E']
indirect flux,full term,['ECSS-E-ST-10-04C'],['E']
mass flow rate,full term,['ECSS-E-ST-10-04C'],['E']
molecular column density,full term,['ECSS-E-ST-10-04C'],['E']
molecular contaminant,full term,['ECSS-E-ST-10-04C'],['E']
permanent molecular deposition,full term,['ECSS-E-ST-10-04C'],['E']
return flux,full term,['ECSS-E-ST-10-04C'],['E']
solar constant,full term,['ECSS-E-ST-10-04C'],['E']
surface accommodation,full term,['ECSS-E-ST-10-04C'],['E']
VCM-test,full term,['ECSS-E-ST-10-04C'],['E']
nominal nameplate capacity,full term,['ECSS-E-ST-20C'],['E']
condensable hydrocarbon,full term,['ECSS-E-ST-35-06C Rev.1'],['E']
dewar,full term,['ECSS-E-ST-35-06C Rev.1'],['E']
catastrophic hazard,full term,['ECSS-E-ST-32-01C Rev. 1'],['E']
close visual inspection,full term,['ECSS-E-ST-32-01C Rev. 1'],['E']
special NDI,full term,['ECSS-E-ST-32-01C Rev. 1'],['E']
standard NDI,full term,['ECSS-E-ST-32-01C Rev. 1'],['E']
"threshold stress intensity range, DKth",full term,['ECSS-E-ST-32-01C Rev. 1'],['E']
octet,full term,"['ECSS-E-ST-50-01C', 'ECSS-E-ST-50-03C', 'ECSS-E-ST-50-04C']",['E']
physical channel,full term,['ECSS-E-ST-50-01C'],['E']
idle data,full term,['ECSS-E-ST-50-03C'],['E']
mission phase,full term,"['ECSS-E-ST-50-03C', 'ECSS-E-ST-50-04C']",['E']
static,full term,"['ECSS-E-ST-50-03C', 'ECSS-E-ST-50-04C']",['E']
physical layer operation procedure,full term,['ECSS-E-ST-50-04C'],['E']
service-provider,full term,['ECSS-E-ST-50C'],['E']
service-user,full term,['ECSS-E-ST-50C'],['E']
a-weighting,full term,['ECSS-E-ST-10-03C'],['E']
accuracy of measurement,full term,['ECSS-E-ST-10-03C'],['E']
development test prior qualification,full term,['ECSS-E-ST-10-03C'],['E']
maximum expected sinusoidal vibration environment,full term,['ECSS-E-ST-10-03C'],['E']
tolerance,full term,['ECSS-E-ST-10-03C'],['E']
AIT,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-10-09C', 'ECSS-E-ST-31C', 'ECSS-E-ST-32C Rev. 1', 'ECSS-E-ST-70-01C', 'ECSS-E-ST-70C', 'ECSS-E-ST-50C Rev. 1', 'ECSS-E-ST-10-03C Rev.1', 'ECSS-Q-ST-70-01C', 'ECSS-Q-ST-20-08C', 'ECSS-Q-ST-70-16C', 'ECSS-S-ST-00-01C', 'ECSS-U-ST-20C']","['E', 'Q', 'S', 'U']"
AIV,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-10-09C', 'ECSS-E-ST-35-02C', 'ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-70-32C', 'ECSS-E-ST-10-03C Rev.1', 'ECSS-M-ST-60C', 'ECSS-Q-ST-20C Rev.2 Corr.1', 'ECSS-Q-ST-70-01C', 'ECSS-Q-ST-70-58C', 'ECSS-S-ST-00-01C', 'ECSS-U-ST-20C']","['E', 'M', 'Q', 'S', 'U']"
AOCS,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-31C', 'ECSS-E-ST-32C Rev. 1', 'ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-60-30C', 'ECSS-E-ST-50-13C', 'ECSS-E-ST-70-01C', 'ECSS-E-ST-70-11C', 'ECSS-E-ST-70C', 'ECSS-E-ST-70-31C', 'ECSS-E-ST-20-08C Rev. 1', 'ECSS-E-ST-70-41C', 'ECSS-E-ST-20-06C Rev.1', 'ECSS-Q-ST-70C Rev.2', 'ECSS-S-ST-00-01C']","['E', 'Q', 'S']"
AR,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-40C', 'ECSS-E-ST-70-01C', 'ECSS-E-ST-20-08C Rev. 1', 'ECSS-E-ST-50C Rev. 1', 'ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-20C Rev.2', 'ECSS-M-ST-10C Rev. 1', 'ECSS-M-ST-40C Rev. 1', 'ECSS-Q-ST-40C Rev.1', 'ECSS-Q-ST-20-08C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-70-60C Corr.1', 'ECSS-S-ST-00-01C']","['E', 'M', 'Q', 'S']"
CDR,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-10-12C', 'ECSS-E-ST-40C', 'ECSS-E-ST-60-30C', 'ECSS-E-ST-70-01C', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-20-01C', 'ECSS-E-ST-50C Rev. 1', 'ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-20C Rev.2', 'ECSS-M-ST-10C Rev. 1', 'ECSS-M-ST-40C Rev. 1', 'ECSS-Q-ST-30-02C', 'ECSS-Q-ST-40C Rev.1', 'ECSS-Q-ST-60-15C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-70-60C Corr.1', 'ECSS-Q-ST-70C Rev.2', 'ECSS-Q-ST-70-80C', 'ECSS-Q-ST-60C Rev. 3', 'ECSS-S-ST-00-01C', 'ECSS-U-ST-20C']","['E', 'M', 'Q', 'S', 'U']"
CRR,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-70C', 'ECSS-M-ST-10C Rev. 1', 'ECSS-Q-ST-40C Rev.1']","['E', 'M', 'Q']"
DDF,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-32C Rev. 1', 'ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-40C', 'ECSS-E-ST-60-30C', 'ECSS-E-ST-20C Rev.2', 'ECSS-Q-ST-80C Rev.1', 'ECSS-S-ST-00-01C']","['E', 'Q', 'S']"
DDP,abbreviation,['ECSS-E-ST-10C Rev.1'],['E']
DJF,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-32C Rev. 1', 'ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-40C', 'ECSS-E-ST-60-30C', 'ECSS-E-ST-20-08C Rev. 1', 'ECSS-E-ST-20C Rev.2', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-10-09C Rev. 1', 'ECSS-S-ST-00-01C']","['E', 'Q', 'S']"
DRD,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-10-09C', 'ECSS-E-ST-31C', 'ECSS-E-ST-32-08C Rev. 1', 'ECSS-E-ST-32C Rev. 1', 'ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-40C', 'ECSS-E-ST-60-30C', 'ECSS-E-ST-70C', 'ECSS-E-ST-20-08C Rev. 1', 'ECSS-E-ST-60-21C', 'ECSS-E-ST-31-02C Rev.1', 'ECSS-E-ST-20-01C', 'ECSS-E-ST-50C Rev. 1', 'ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-20C Rev.2', 'ECSS-M-ST-10-01C', 'ECSS-M-ST-40C Rev. 1', 'ECSS-Q-ST-20C Rev.2 Corr.1', 'ECSS-Q-ST-70-54C', 'ECSS-Q-ST-20-10C', 'ECSS-Q-ST-40-02C', 'ECSS-Q-ST-60-05C Rev. 1', 'ECSS-Q-ST-70-12C', 'ECSS-Q-ST-20-08C', 'ECSS-Q-ST-70-39C', 'ECSS-Q-ST-70-14C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-30C Rev.1', 'ECSS-Q-ST-70-26C Rev.1 Corr.1', 'ECSS-Q-ST-70-60C Corr.1', 'ECSS-Q-ST-70C Rev.2', 'ECSS-Q-ST-70-15C', 'ECSS-Q-ST-70-16C', 'ECSS-Q-ST-70-80C', 'ECSS-Q-ST-60C Rev. 3', 'ECSS-Q-ST-70-61C', 'ECSS-S-ST-00-01C', 'ECSS-S-ST-00C Rev.1', 'ECSS-U-ST-20C']","['E', 'M', 'Q', 'S', 'U']"
ECSS,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-40C', 'ECSS-E-ST-50-13C', 'ECSS-E-ST-50-15C', 'ECSS-E-ST-10-24C', 'ECSS-E-ST-50-12C Rev.1', 'ECSS-E-ST-20-01C', 'ECSS-E-ST-50-16C', 'ECSS-Q-ST-40-12C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-10-09C Rev. 1', 'ECSS-Q-ST-70-80C', 'ECSS-Q-ST-70-40C', 'ECSS-S-ST-00-01C', 'ECSS-U-ST-20C']","['E', 'Q', 'S', 'U']"
ELR,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-70C', 'ECSS-M-ST-10C Rev. 1', 'ECSS-Q-ST-40C Rev.1', 'ECSS-S-ST-00-01C']","['E', 'M', 'Q', 'S']"
FDIR,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-34C', 'ECSS-E-ST-60-30C', 'ECSS-E-ST-50-13C', 'ECSS-E-ST-70-01C', 'ECSS-E-ST-70-11C', 'ECSS-E-ST-70C', 'ECSS-E-ST-20-20C', 'ECSS-E-ST-70-41C', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-50-16C', 'ECSS-E-ST-20C Rev.2', 'ECSS-Q-ST-30-02C', 'ECSS-Q-ST-30C Rev.1', 'ECSS-S-ST-00-01C']","['E', 'Q', 'S']"
FM,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-10-12C', 'ECSS-E-ST-31C', 'ECSS-E-ST-32C Rev. 1', 'ECSS-E-ST-34C', 'ECSS-E-ST-60-30C', 'ECSS-E-ST-70C', 'ECSS-E-ST-70-31C', 'ECSS-E-ST-20-01C', 'ECSS-E-ST-10-03C Rev.1', 'ECSS-Q-ST-20C Rev.2 Corr.1', 'ECSS-Q-ST-60-02C', 'ECSS-Q-ST-60-05C Rev. 1', 'ECSS-Q-ST-70-60C Corr.1', 'ECSS-Q-ST-70-80C', 'ECSS-Q-ST-70-61C', 'ECSS-S-ST-00-01C']","['E', 'Q', 'S']"
FMECA,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-32C Rev. 1', 'ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-60-30C', 'ECSS-E-ST-70C', 'ECSS-E-ST-20-08C Rev. 1', 'ECSS-E-ST-20-20C', 'ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-20-21C', 'ECSS-E-ST-20C Rev.2', 'ECSS-Q-ST-30-02C', 'ECSS-Q-ST-30-09C', 'ECSS-Q-ST-40-02C', 'ECSS-Q-ST-60-05C Rev. 1', 'ECSS-Q-ST-40C Rev.1', 'ECSS-Q-ST-70-58C', 'ECSS-Q-ST-60-15C', 'ECSS-Q-ST-30C Rev.1', 'ECSS-Q-ST-10-09C Rev. 1', 'ECSS-Q-ST-70-15C', 'ECSS-S-ST-00-01C']","['E', 'Q', 'S']"
FOM,abbreviation,['ECSS-E-ST-10C Rev.1'],['E']
FRR,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-70C', 'ECSS-M-ST-10C Rev. 1', 'ECSS-Q-ST-40C Rev.1', 'ECSS-Q-ST-20-07C', 'ECSS-S-ST-00-01C', 'ECSS-U-ST-20C']","['E', 'M', 'Q', 'S', 'U']"
FTA,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-70C', 'ECSS-Q-ST-40-12C', 'ECSS-Q-ST-40C Rev.1', 'ECSS-Q-ST-30C Rev.1', 'ECSS-S-ST-00-01C']","['E', 'Q', 'S']"
GSE,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-31C', 'ECSS-E-ST-34C', 'ECSS-E-ST-35-02C', 'ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-33-11C Rev.1', 'ECSS-E-ST-32-10C Rev.2 Corr.1', 'ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-10-03C Rev.1', 'ECSS-M-ST-10C Rev. 1', 'ECSS-Q-ST-20C Rev.2 Corr.1', 'ECSS-Q-ST-40-02C', 'ECSS-Q-ST-70-01C', 'ECSS-Q-ST-40C Rev.1', 'ECSS-Q-ST-70-53C', 'ECSS-Q-ST-70-58C', 'ECSS-Q-ST-70C Rev.2', 'ECSS-Q-ST-60C Rev. 3', 'ECSS-S-ST-00-01C']","['E', 'M', 'Q', 'S']"
HITL,abbreviation,['ECSS-E-ST-10C Rev.1'],['E']
ICD,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-10-09C', 'ECSS-E-ST-31C', 'ECSS-E-ST-34C', 'ECSS-E-ST-40C', 'ECSS-E-ST-60-30C', 'ECSS-E-ST-70C', 'ECSS-E-ST-10-24C', 'ECSS-E-ST-33-11C Rev.1', 'ECSS-E-ST-20-07C Rev. 2', 'ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-20C Rev.2', 'ECSS-M-ST-40C Rev. 1', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-70-60C Corr.1', 'ECSS-S-ST-00-01C']","['E', 'M', 'Q', 'S']"
ILS,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-M-ST-10C Rev. 1', 'ECSS-S-ST-00-01C']","['E', 'M', 'S']"
IRD,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-40C', 'ECSS-E-ST-10-24C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-S-ST-00-01C']","['E', 'Q', 'S']"
LRR,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-M-ST-10C Rev. 1', 'ECSS-Q-ST-40C Rev.1', 'ECSS-S-ST-00-01C', 'ECSS-U-ST-20C']","['E', 'M', 'Q', 'S', 'U']"
MCR,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-70C', 'ECSS-M-ST-10C Rev. 1', 'ECSS-S-ST-00-01C']","['E', 'M', 'S']"
MDD,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-10-06C', 'ECSS-E-ST-70C', 'ECSS-E-ST-33-01C Rev.2', 'ECSS-S-ST-00-01C']","['E', 'S']"
MDR,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-M-ST-10C Rev. 1', 'ECSS-S-ST-00-01C']","['E', 'M', 'S']"
MOP,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-70C']",['E']
MS,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-50-52C', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-50-12C Rev.1', 'ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-35-06C Rev.2', 'ECSS-M-ST-40C Rev. 1', 'ECSS-Q-ST-70-29C']","['E', 'M', 'Q']"
ORR,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-40C', 'ECSS-E-ST-70C', 'ECSS-M-ST-10C Rev. 1', 'ECSS-Q-ST-40C Rev.1', 'ECSS-Q-ST-80C Rev.1', 'ECSS-S-ST-00-01C']","['E', 'M', 'Q', 'S']"
PDR,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-10-12C', 'ECSS-E-ST-32-11C', 'ECSS-E-ST-40C', 'ECSS-E-ST-60-30C', 'ECSS-E-ST-70-01C', 'ECSS-E-ST-70C', 'ECSS-E-ST-20-01C', 'ECSS-E-ST-50C Rev. 1', 'ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-20C Rev.2', 'ECSS-M-ST-10C Rev. 1', 'ECSS-M-ST-40C Rev. 1', 'ECSS-Q-ST-20-10C', 'ECSS-Q-ST-60-05C Rev. 1', 'ECSS-Q-ST-70-01C', 'ECSS-Q-ST-40C Rev.1', 'ECSS-Q-ST-60-15C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-70-60C Corr.1', 'ECSS-Q-ST-70C Rev.2', 'ECSS-Q-ST-60C Rev. 3', 'ECSS-S-ST-00-01C']","['E', 'M', 'Q', 'S']"
PM&P,abbreviation,['ECSS-E-ST-10C Rev.1'],['E']
PMP,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-31C', 'ECSS-E-ST-20-08C Rev. 1', 'ECSS-M-ST-10C Rev. 1', 'ECSS-M-ST-40C Rev. 1', 'ECSS-Q-ST-10-04C', 'ECSS-Q-ST-70-01C', 'ECSS-Q-ST-70C Rev.2', 'ECSS-S-ST-00-01C']","['E', 'M', 'Q', 'S']"
PRR,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-40C', 'ECSS-E-ST-70C', 'ECSS-M-ST-10C Rev. 1', 'ECSS-M-ST-40C Rev. 1', 'ECSS-Q-ST-40C Rev.1', 'ECSS-Q-ST-80C Rev.1', 'ECSS-S-ST-00-01C', 'ECSS-U-ST-20C']","['E', 'M', 'Q', 'S', 'U']"
PUM,abbreviation,['ECSS-E-ST-10C Rev.1'],['E']
QR,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-40C', 'ECSS-E-ST-60-30C', 'ECSS-E-ST-70-01C', 'ECSS-E-ST-50C Rev. 1', 'ECSS-M-ST-10C Rev. 1', 'ECSS-M-ST-40C Rev. 1', 'ECSS-Q-ST-40C Rev.1', 'ECSS-Q-ST-60-15C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-70C Rev.2', 'ECSS-S-ST-00-01C']","['E', 'M', 'Q', 'S']"
RAMS,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-20-08C Rev. 1', 'ECSS-Q-ST-30-02C', 'ECSS-Q-ST-10-09C Rev. 1', 'ECSS-S-ST-00-01C']","['E', 'Q', 'S']"
RAR,abbreviation,['ECSS-E-ST-10C Rev.1'],['E']
RF,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-50-02C', 'ECSS-E-ST-70-11C', 'ECSS-E-ST-70C', 'ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-33-11C Rev.1', 'ECSS-E-ST-20-01C', 'ECSS-E-ST-50C Rev. 1', 'ECSS-E-ST-20-07C Rev. 2', 'ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-20C Rev.2', 'ECSS-Q-ST-70-12C', 'ECSS-Q-ST-70-60C Corr.1', 'ECSS-Q-ST-70-17C', 'ECSS-Q-ST-30-11C Rev.2', 'ECSS-Q-ST-70-61C', 'ECSS-S-ST-00-01C']","['E', 'Q', 'S']"
RJF,abbreviation,['ECSS-E-ST-10C Rev.1'],['E']
ROD,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-31-02C Rev.1', 'ECSS-E-ST-20C Rev.2', 'ECSS-S-ST-00-01C']","['E', 'S']"
ROM/RAM,abbreviation,['ECSS-E-ST-10C Rev.1'],['E']
RTM,abbreviation,['ECSS-E-ST-10C Rev.1'],['E']
R&D,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-Q-ST-70-60C Corr.1']","['E', 'Q']"
SE,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-70-31C']",['E']
SEP,abbreviation,"['ECSS-E-ST-10C Rev.1', 'ECSS-E-ST-10-09C', 'ECSS-E-ST-32C Rev. 1', 'ECSS-E-ST-10-03C Rev.1', 'ECSS-Q-ST-30-02C', 'ECSS-S-ST-00-01C']","['E', 'Q', 'S']"
